Sector,Size,code,variable,value
Administrative and support service activities,LARGE,Export to Net Sales,2009,20.24259773079186
,MEDIUM,Export to Net Sales,2009,16.73811647451077
,SMALL,Export to Net Sales,2009,23.68624345733959
,MICRO,Export to Net Sales,2009,16.78227616326338
Education,LARGE,Export to Net Sales,2009,0.03699703645302743
,MEDIUM,Export to Net Sales,2009,1.89877620063968
,SMALL,Export to Net Sales,2009,0.81660348466168
,MICRO,Export to Net Sales,2009,2.85740870745274
Human health and social work activities,LARGE,Export to Net Sales,2009,0.02773117006204052
,MEDIUM,Export to Net Sales,2009,0.4030641911568272
,SMALL,Export to Net Sales,2009,0.8817106661517262
,MICRO,Export to Net Sales,2009,1.267670145649003
"Arts, entertainment and recreation",LARGE,Export to Net Sales,2009,0.07320090486147716
,MEDIUM,Export to Net Sales,2009,6.580010957643265
,SMALL,Export to Net Sales,2009,1.245476316765168
,MICRO,Export to Net Sales,2009,1.738190671404259
Other services activities,LARGE,Export to Net Sales,2009,2.629104092034312
,MEDIUM,Export to Net Sales,2009,5.233741766082797
,SMALL,Export to Net Sales,2009,2.404675350394966
,MICRO,Export to Net Sales,2009,2.611954722181351
ALL,LARGE,Export to Net Sales,2009,19.08815781334927
,MEDIUM,Export to Net Sales,2009,14.50065219208359
,SMALL,Export to Net Sales,2009,11.18345718143027
,MICRO,Export to Net Sales,2009,7.457603479711658
,LARGE,Export to Net Sales,2009,19.08815781334927
,MEDIUM,Export to Net Sales,2009,14.50065219208358
,SMALL,Export to Net Sales,2009,11.18345718143027
,MICRO,Export to Net Sales,2009,7.457603479711658
,TOTAL,Operational Profit to Net Sales,2009,4.78123848675389
"Agriculture, forestry and fishing",TOTAL,Operational Profit to Net Sales,2009,6.410413026515757
Mining and quarrying,TOTAL,Operational Profit to Net Sales,2009,12.90523905618893
Manufacturing,TOTAL,Operational Profit to Net Sales,2009,5.899961599850016
"Electricity, gas, steam and air conditioning supply",TOTAL,Operational Profit to Net Sales,2009,7.122483826431182
Water supply; sewerage; waste management and remediation activities,TOTAL,Operational Profit to Net Sales,2009,6.863145335548217
Construction,TOTAL,Operational Profit to Net Sales,2009,6.54568999412869
Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Operational Profit to Net Sales,2009,2.608301746722147
Transporting and storage,TOTAL,Operational Profit to Net Sales,2009,6.340841376191382
Accommodation and food service activities,TOTAL,Operational Profit to Net Sales,2009,4.29075728469434
Information and communication,TOTAL,Operational Profit to Net Sales,2009,10.3510895299767
Real estate activities,TOTAL,Operational Profit to Net Sales,2009,14.3933178926363
"Professional, scientific and technical activities",TOTAL,Operational Profit to Net Sales,2009,8.26651364505118
Administrative and support service activities,TOTAL,Operational Profit to Net Sales,2009,2.368760464460593
Education,TOTAL,Operational Profit to Net Sales,2009,2.641832855535983
Human health and social work activities,TOTAL,Operational Profit to Net Sales,2009,9.221598508467064
"Arts, entertainment and recreation",TOTAL,Operational Profit to Net Sales,2009,-4.145842070030302
Other services activities,TOTAL,Operational Profit to Net Sales,2009,1.690294790360704
"Agriculture, forestry and fishing",LARGE,Operational Profit to Net Sales,2009,17.95415254708938
,MEDIUM,Operational Profit to Net Sales,2009,7.175692577600919
,SMALL,Operational Profit to Net Sales,2009,2.048993367886104
,MICRO,Operational Profit to Net Sales,2009,-1.330162737939772
Mining and quarrying,LARGE,Operational Profit to Net Sales,2009,17.06272921398686
,MEDIUM,Operational Profit to Net Sales,2009,8.889083711578778
,SMALL,Operational Profit to Net Sales,2009,1.744490319908694
,MICRO,Operational Profit to Net Sales,2009,-13.8928352807473
Manufacturing,LARGE,Operational Profit to Net Sales,2009,6.494399602195307
,MEDIUM,Operational Profit to Net Sales,2009,5.624150600319709
,SMALL,Operational Profit to Net Sales,2009,4.320849623965895
,MICRO,Operational Profit to Net Sales,2009,1.333019393984976
"Electricity, gas, steam and air conditioning supply",LARGE,Operational Profit to Net Sales,2009,7.488955428579906
,MEDIUM,Operational Profit to Net Sales,2009,2.486049185223429
,SMALL,Operational Profit to Net Sales,2009,-36.78129647596226
,MICRO,Operational Profit to Net Sales,2009,-183.2106643931168
Water supply; sewerage; waste management and remediation activities,LARGE,Operational Profit to Net Sales,2009,7.851873921354348
,MEDIUM,Operational Profit to Net Sales,2009,7.516704303422128
,SMALL,Operational Profit to Net Sales,2009,3.1244017814854
,MICRO,Operational Profit to Net Sales,2009,1.025030413810914
Construction,LARGE,Operational Profit to Net Sales,2009,10.2464617254865
,MEDIUM,Operational Profit to Net Sales,2009,6.510676303782851
,SMALL,Operational Profit to Net Sales,2009,5.222906058044134
,MICRO,Operational Profit to Net Sales,2009,0.06324077546466074
Wholesale and retail trade; repair of motor vehicles and motorcycles,LARGE,Operational Profit to Net Sales,2009,2.74212828138684
,MEDIUM,Operational Profit to Net Sales,2009,2.993115960628001
,SMALL,Operational Profit to Net Sales,2009,2.53781097599438
,MICRO,Operational Profit to Net Sales,2009,1.300279947682244
Transporting and storage,LARGE,Operational Profit to Net Sales,2009,9.768752525159643
,MEDIUM,Operational Profit to Net Sales,2009,2.414334861356123
,SMALL,Operational Profit to Net Sales,2009,0.524116239063572
,MICRO,Operational Profit to Net Sales,2009,-0.4864964379430948
Accommodation and food service activities,LARGE,Operational Profit to Net Sales,2009,4.896425831977226
,MEDIUM,Operational Profit to Net Sales,2009,6.737081401913504
,SMALL,Operational Profit to Net Sales,2009,3.4777751119195
,MICRO,Operational Profit to Net Sales,2009,-2.434847524895366
Information and communication,LARGE,Operational Profit to Net Sales,2009,12.33411221123256
,MEDIUM,Operational Profit to Net Sales,2009,2.959971229755703
,SMALL,Operational Profit to Net Sales,2009,4.559726020271029
,MICRO,Operational Profit to Net Sales,2009,1.319555161128757
Real estate activities,LARGE,Operational Profit to Net Sales,2009,27.90345895411457
,MEDIUM,Operational Profit to Net Sales,2009,9.736717803905902
,SMALL,Operational Profit to Net Sales,2009,2.661203798948391
,MICRO,Operational Profit to Net Sales,2009,-11.67837722390472
"Professional, scientific and technical activities",LARGE,Operational Profit to Net Sales,2009,13.77803189958042
,MEDIUM,Operational Profit to Net Sales,2009,3.983440351911995
,SMALL,Operational Profit to Net Sales,2009,6.703682656180841
,MICRO,Operational Profit to Net Sales,2009,3.180730333411419
Administrative and support service activities,LARGE,Operational Profit to Net Sales,2009,3.041805595117686
,MEDIUM,Operational Profit to Net Sales,2009,3.371726878397246
,SMALL,Operational Profit to Net Sales,2009,1.749381850602033
,MICRO,Operational Profit to Net Sales,2009,-1.152049106719037
Education,LARGE,Operational Profit to Net Sales,2009,5.293531963225891
,MEDIUM,Operational Profit to Net Sales,2009,5.004300277165264
,SMALL,Operational Profit to Net Sales,2009,-1.602669425726877
,MICRO,Operational Profit to Net Sales,2009,-5.677436321915997
Human health and social work activities,LARGE,Operational Profit to Net Sales,2009,4.970226487588246
,MEDIUM,Operational Profit to Net Sales,2009,8.785433681942752
,SMALL,Operational Profit to Net Sales,2009,11.65213719700354
,MICRO,Operational Profit to Net Sales,2009,19.42230501069588
"Arts, entertainment and recreation",LARGE,Operational Profit to Net Sales,2009,12.0213056252519
,MEDIUM,Operational Profit to Net Sales,2009,-14.52122218886938
,SMALL,Operational Profit to Net Sales,2009,-11.19270972039722
,MICRO,Operational Profit to Net Sales,2009,-4.113542097985096
Other services activities,LARGE,Operational Profit to Net Sales,2009,2.988568536567127
,MEDIUM,Operational Profit to Net Sales,2009,3.442541301708575
,SMALL,Operational Profit to Net Sales,2009,2.583544830822897
,MICRO,Operational Profit to Net Sales,2009,-0.4404423181144594
ALL,LARGE,Operational Profit to Net Sales,2009,6.025898291156796
,MEDIUM,Operational Profit to Net Sales,2009,4.255953696057969
,SMALL,Operational Profit to Net Sales,2009,3.158957650817833
,MICRO,Operational Profit to Net Sales,2009,0.9192674904914125
,LARGE,Operational Profit to Net Sales,2009,6.025898291156797
,MEDIUM,Operational Profit to Net Sales,2009,4.255953696057968
,SMALL,Operational Profit to Net Sales,2009,3.158957650817833
,MICRO,Operational Profit to Net Sales,2009,0.9192674904914125
,TOTAL,Net Income From Other Operations to Net Sales,2009,2.093694528615987
"Agriculture, forestry and fishing",TOTAL,Net Income From Other Operations to Net Sales,2009,0.194685286190137
Mining and quarrying,TOTAL,Net Income From Other Operations to Net Sales,2009,6.002067898985544
Manufacturing,TOTAL,Net Income From Other Operations to Net Sales,2009,1.433584689475438
"Electricity, gas, steam and air conditioning supply",TOTAL,Net Income From Other Operations to Net Sales,2009,2.176159564971258
Water supply; sewerage; waste management and remediation activities,TOTAL,Net Income From Other Operations to Net Sales,2009,0.979242910577129
Construction,TOTAL,Net Income From Other Operations to Net Sales,2009,3.397066728582929
Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Net Income From Other Operations to Net Sales,2009,1.088027612937641
Transporting and storage,TOTAL,Net Income From Other Operations to Net Sales,2009,2.771864356236032
Accommodation and food service activities,TOTAL,Net Income From Other Operations to Net Sales,2009,2.570599258009557
Information and communication,TOTAL,Net Income From Other Operations to Net Sales,2009,7.357480657166694
Real estate activities,TOTAL,Net Income From Other Operations to Net Sales,2009,1.206289750490881
"Professional, scientific and technical activities",TOTAL,Net Income From Other Operations to Net Sales,2009,22.9228408819026
Administrative and support service activities,TOTAL,Net Income From Other Operations to Net Sales,2009,1.234029531844847
Education,TOTAL,Net Income From Other Operations to Net Sales,2009,1.218229858000631
Human health and social work activities,TOTAL,Net Income From Other Operations to Net Sales,2009,1.663610857121645
"Arts, entertainment and recreation",TOTAL,Net Income From Other Operations to Net Sales,2009,9.430065056776808
Other services activities,TOTAL,Net Income From Other Operations to Net Sales,2009,1.296952439693474
"Agriculture, forestry and fishing",LARGE,Net Income From Other Operations to Net Sales,2009,0.09747103508454252
,MEDIUM,Net Income From Other Operations to Net Sales,2009,-0.8879478850122077
,SMALL,Net Income From Other Operations to Net Sales,2009,0.1688866810795955
,MICRO,Net Income From Other Operations to Net Sales,2009,1.569904200372681
Mining and quarrying,LARGE,Net Income From Other Operations to Net Sales,2009,7.050682787659614
,MEDIUM,Net Income From Other Operations to Net Sales,2009,1.772538486023086
,SMALL,Net Income From Other Operations to Net Sales,2009,7.105554473964615
,MICRO,Net Income From Other Operations to Net Sales,2009,0.4454072072294123
Manufacturing,LARGE,Net Income From Other Operations to Net Sales,2009,1.850721871521186
,MEDIUM,Net Income From Other Operations to Net Sales,2009,0.3515411775220533
,SMALL,Net Income From Other Operations to Net Sales,2009,0.3275214207217825
,MICRO,Net Income From Other Operations to Net Sales,2009,3.275071914258616
"Electricity, gas, steam and air conditioning supply",LARGE,Net Income From Other Operations to Net Sales,2009,1.768490393806632
,MEDIUM,Net Income From Other Operations to Net Sales,2009,13.78148059025323
,SMALL,Net Income From Other Operations to Net Sales,2009,9.748996789132025
,MICRO,Net Income From Other Operations to Net Sales,2009,233.5080940538901
Water supply; sewerage; waste management and remediation activities,LARGE,Net Income From Other Operations to Net Sales,2009,1.189119076258281
,MEDIUM,Net Income From Other Operations to Net Sales,2009,0.5730560890678248
,SMALL,Net Income From Other Operations to Net Sales,2009,0.9883647679282838
,MICRO,Net Income From Other Operations to Net Sales,2009,0.2751804114574369
Construction,LARGE,Net Income From Other Operations to Net Sales,2009,4.088561665105304
,MEDIUM,Net Income From Other Operations to Net Sales,2009,2.851629088411182
,SMALL,Net Income From Other Operations to Net Sales,2009,1.224635771732441
,MICRO,Net Income From Other Operations to Net Sales,2009,7.062026519329756
Wholesale and retail trade; repair of motor vehicles and motorcycles,LARGE,Net Income From Other Operations to Net Sales,2009,1.115144563438604
,MEDIUM,Net Income From Other Operations to Net Sales,2009,0.2563911021986126
,SMALL,Net Income From Other Operations to Net Sales,2009,0.1358973236239625
,MICRO,Net Income From Other Operations to Net Sales,2009,4.907284935085854
Transporting and storage,LARGE,Net Income From Other Operations to Net Sales,2009,2.844159951089789
,MEDIUM,Net Income From Other Operations to Net Sales,2009,2.4173924651593
,SMALL,Net Income From Other Operations to Net Sales,2009,1.082963450192174
,MICRO,Net Income From Other Operations to Net Sales,2009,6.159599331990709
Accommodation and food service activities,LARGE,Net Income From Other Operations to Net Sales,2009,3.87383840602059
,MEDIUM,Net Income From Other Operations to Net Sales,2009,2.324496012337955
,SMALL,Net Income From Other Operations to Net Sales,2009,1.018325627930815
,MICRO,Net Income From Other Operations to Net Sales,2009,2.158753636233111
Information and communication,LARGE,Net Income From Other Operations to Net Sales,2009,4.602740047272111
,MEDIUM,Net Income From Other Operations to Net Sales,2009,1.541363161484202
,SMALL,Net Income From Other Operations to Net Sales,2009,1.307120729210879
,MICRO,Net Income From Other Operations to Net Sales,2009,71.80386362606933
Real estate activities,LARGE,Net Income From Other Operations to Net Sales,2009,-7.918086778222393
,MEDIUM,Net Income From Other Operations to Net Sales,2009,4.951425602085037
,SMALL,Net Income From Other Operations to Net Sales,2009,6.81014423622689
,MICRO,Net Income From Other Operations to Net Sales,2009,21.32886301582893
"Professional, scientific and technical activities",LARGE,Net Income From Other Operations to Net Sales,2009,23.26775732938812
,MEDIUM,Net Income From Other Operations to Net Sales,2009,23.07402741831319
,SMALL,Net Income From Other Operations to Net Sales,2009,16.70278130744031
,MICRO,Net Income From Other Operations to Net Sales,2009,29.88203187321101
Administrative and support service activities,LARGE,Net Income From Other Operations to Net Sales,2009,0.6319549211536057
,MEDIUM,Net Income From Other Operations to Net Sales,2009,1.15143269363325
,SMALL,Net Income From Other Operations to Net Sales,2009,2.116323562306731
,MICRO,Net Income From Other Operations to Net Sales,2009,2.273907600322262
Education,LARGE,Net Income From Other Operations to Net Sales,2009,2.143803272451609
,MEDIUM,Net Income From Other Operations to Net Sales,2009,0.8764275205105411
,SMALL,Net Income From Other Operations to Net Sales,2009,0.6905636802176346
,MICRO,Net Income From Other Operations to Net Sales,2009,1.219190168601298
Human health and social work activities,LARGE,Net Income From Other Operations to Net Sales,2009,2.966270989317804
,MEDIUM,Net Income From Other Operations to Net Sales,2009,0.5412088291073899
,SMALL,Net Income From Other Operations to Net Sales,2009,0.9165937379866453
,MICRO,Net Income From Other Operations to Net Sales,2009,2.712639812974177
"Arts, entertainment and recreation",LARGE,Net Income From Other Operations to Net Sales,2009,5.449436056597685
,MEDIUM,Net Income From Other Operations to Net Sales,2009,13.21705625877649
,SMALL,Net Income From Other Operations to Net Sales,2009,14.08041472843598
,MICRO,Net Income From Other Operations to Net Sales,2009,1.868846049198408
Other services activities,LARGE,Net Income From Other Operations to Net Sales,2009,0.9937396397379533
,MEDIUM,Net Income From Other Operations to Net Sales,2009,-0.232468559410428
,SMALL,Net Income From Other Operations to Net Sales,2009,2.396589618188733
,MICRO,Net Income From Other Operations to Net Sales,2009,0.9317315435445015
ALL,LARGE,Net Income From Other Operations to Net Sales,2009,2.128468563829034
,MEDIUM,Net Income From Other Operations to Net Sales,2009,1.147885060358431
,SMALL,Net Income From Other Operations to Net Sales,2009,0.8862353511780077
,MICRO,Net Income From Other Operations to Net Sales,2009,7.070718845769742
,LARGE,Net Income From Other Operations to Net Sales,2009,2.128468563829033
,MEDIUM,Net Income From Other Operations to Net Sales,2009,1.147885060358431
,SMALL,Net Income From Other Operations to Net Sales,2009,0.8862353511780077
,MICRO,Net Income From Other Operations to Net Sales,2009,7.070718845769742
,TOTAL,Net Extraordinary Income to Net Sales,2009,-0.09403406554456475
"Agriculture, forestry and fishing",TOTAL,Net Extraordinary Income to Net Sales,2009,-0.1030927733660632
Mining and quarrying,TOTAL,Net Extraordinary Income to Net Sales,2009,-0.9437567032246836
Manufacturing,TOTAL,Net Extraordinary Income to Net Sales,2009,-0.433143699861377
"Electricity, gas, steam and air conditioning supply",TOTAL,Net Extraordinary Income to Net Sales,2009,-2.205780827022605
Water supply; sewerage; waste management and remediation activities,TOTAL,Net Extraordinary Income to Net Sales,2009,-3.670482447103316
Construction,TOTAL,Net Extraordinary Income to Net Sales,2009,-0.1742099859632058
Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Net Extraordinary Income to Net Sales,2009,0.04818877554340545
Transporting and storage,TOTAL,Net Extraordinary Income to Net Sales,2009,1.690100189714158
Accommodation and food service activities,TOTAL,Net Extraordinary Income to Net Sales,2009,0.1213274918232863
Information and communication,TOTAL,Net Extraordinary Income to Net Sales,2009,0.4698633377340707
Real estate activities,TOTAL,Net Extraordinary Income to Net Sales,2009,0.3277735926052178
"Professional, scientific and technical activities",TOTAL,Net Extraordinary Income to Net Sales,2009,2.800918221745074
Administrative and support service activities,TOTAL,Net Extraordinary Income to Net Sales,2009,-0.1608684369088037
Education,TOTAL,Net Extraordinary Income to Net Sales,2009,0.5375395463480634
Human health and social work activities,TOTAL,Net Extraordinary Income to Net Sales,2009,-0.2343824171880657
"Arts, entertainment and recreation",TOTAL,Net Extraordinary Income to Net Sales,2009,-0.1792947145138671
Other services activities,TOTAL,Net Extraordinary Income to Net Sales,2009,-0.2482257051045729
"Agriculture, forestry and fishing",LARGE,Net Extraordinary Income to Net Sales,2009,-0.1095879354056793
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.2091023095434453
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.1747033550696263
,MICRO,Net Extraordinary Income to Net Sales,2009,0.1648155882221993
Mining and quarrying,LARGE,Net Extraordinary Income to Net Sales,2009,-1.029728892694688
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-1.32673832588652
,SMALL,Net Extraordinary Income to Net Sales,2009,0.5443675328437145
,MICRO,Net Extraordinary Income to Net Sales,2009,-3.575061442682511
Manufacturing,LARGE,Net Extraordinary Income to Net Sales,2009,-0.6026380244087793
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.03046477213759757
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.08179882780358233
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.6227708872102875
"Electricity, gas, steam and air conditioning supply",LARGE,Net Extraordinary Income to Net Sales,2009,-2.216561743547024
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.06118713784634362
,SMALL,Net Extraordinary Income to Net Sales,2009,-6.966466355786848
,MICRO,Net Extraordinary Income to Net Sales,2009,-19.6013019207204
Water supply; sewerage; waste management and remediation activities,LARGE,Net Extraordinary Income to Net Sales,2009,-6.301575001623792
,MEDIUM,Net Extraordinary Income to Net Sales,2009,0.01152713668565178
,SMALL,Net Extraordinary Income to Net Sales,2009,0.0401232389132131
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.1456150257271513
Construction,LARGE,Net Extraordinary Income to Net Sales,2009,-0.3839926902057094
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.2514898880098673
,SMALL,Net Extraordinary Income to Net Sales,2009,0.1462030752699912
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.1252321388177022
Wholesale and retail trade; repair of motor vehicles and motorcycles,LARGE,Net Extraordinary Income to Net Sales,2009,0.03980399265208729
,MEDIUM,Net Extraordinary Income to Net Sales,2009,0.1185861687464244
,SMALL,Net Extraordinary Income to Net Sales,2009,0.02591209894454389
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.02446153275941726
Transporting and storage,LARGE,Net Extraordinary Income to Net Sales,2009,2.465637669541795
,MEDIUM,Net Extraordinary Income to Net Sales,2009,0.892925686985396
,SMALL,Net Extraordinary Income to Net Sales,2009,0.337219027557037
,MICRO,Net Extraordinary Income to Net Sales,2009,0.06463828961580179
Accommodation and food service activities,LARGE,Net Extraordinary Income to Net Sales,2009,0.1060564431274082
,MEDIUM,Net Extraordinary Income to Net Sales,2009,0.4076202054429185
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.3506991579438489
,MICRO,Net Extraordinary Income to Net Sales,2009,0.5345075352175507
Information and communication,LARGE,Net Extraordinary Income to Net Sales,2009,0.6253712816060537
,MEDIUM,Net Extraordinary Income to Net Sales,2009,0.2637983660095147
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.5308104347030422
,MICRO,Net Extraordinary Income to Net Sales,2009,0.006812790298858128
Real estate activities,LARGE,Net Extraordinary Income to Net Sales,2009,0.2333465110202512
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.6946715777839529
,SMALL,Net Extraordinary Income to Net Sales,2009,1.99412147726695
,MICRO,Net Extraordinary Income to Net Sales,2009,0.5649709911105374
"Professional, scientific and technical activities",LARGE,Net Extraordinary Income to Net Sales,2009,3.97090499446929
,MEDIUM,Net Extraordinary Income to Net Sales,2009,5.995252368979209
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.3669033205831248
,MICRO,Net Extraordinary Income to Net Sales,2009,0.6700469294683299
Administrative and support service activities,LARGE,Net Extraordinary Income to Net Sales,2009,-0.123284907257606
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.02453959965663471
,SMALL,Net Extraordinary Income to Net Sales,2009,0.02326320652729815
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.8890498628233802
Education,LARGE,Net Extraordinary Income to Net Sales,2009,0.670039195817346
,MEDIUM,Net Extraordinary Income to Net Sales,2009,1.147963776553664
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.2940747511460549
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.3046101768180046
Human health and social work activities,LARGE,Net Extraordinary Income to Net Sales,2009,0.02085382585871429
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.3455356284104447
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.2607171786118276
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.7155695448981271
"Arts, entertainment and recreation",LARGE,Net Extraordinary Income to Net Sales,2009,1.814076053164986
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.5942826332177145
,SMALL,Net Extraordinary Income to Net Sales,2009,-1.319669071642645
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.7067519515090623
Other services activities,LARGE,Net Extraordinary Income to Net Sales,2009,-0.1399439407395348
,MEDIUM,Net Extraordinary Income to Net Sales,2009,-0.5966066751895341
,SMALL,Net Extraordinary Income to Net Sales,2009,-0.06449832310191897
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.3305490389637151
ALL,LARGE,Net Extraordinary Income to Net Sales,2009,-0.2154638711494713
,MEDIUM,Net Extraordinary Income to Net Sales,2009,0.166669773449154
,SMALL,Net Extraordinary Income to Net Sales,2009,0.0002276655989870024
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.1200474889157725
,LARGE,Net Extraordinary Income to Net Sales,2009,-0.2154638711494713
,MEDIUM,Net Extraordinary Income to Net Sales,2009,0.166669773449154
,SMALL,Net Extraordinary Income to Net Sales,2009,0.0002276655989870024
,MICRO,Net Extraordinary Income to Net Sales,2009,-0.1200474889157725
,TOTAL,Financial Expenses to EBIT,2009,35.64845864007374
"Agriculture, forestry and fishing",TOTAL,Financial Expenses to EBIT,2009,48.8118525145319
Mining and quarrying,TOTAL,Financial Expenses to EBIT,2009,15.76380996247043
Manufacturing,TOTAL,Financial Expenses to EBIT,2009,42.99138365401613
"Electricity, gas, steam and air conditioning supply",TOTAL,Financial Expenses to EBIT,2009,38.41600240690014
Water supply; sewerage; waste management and remediation activities,TOTAL,Financial Expenses to EBIT,2009,71.12329367621018
Construction,TOTAL,Financial Expenses to EBIT,2009,23.50108763684558
Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Financial Expenses to EBIT,2009,38.14350333688161
Transporting and storage,TOTAL,Financial Expenses to EBIT,2009,24.43334221189578
Accommodation and food service activities,TOTAL,Financial Expenses to EBIT,2009,61.1226307287096
Information and communication,TOTAL,Financial Expenses to EBIT,2009,23.29391279642362
Real estate activities,TOTAL,Financial Expenses to EBIT,2009,76.93208172514876
